regime,label,start_date,end_date,n_train,n_test,baseline_rmse_bps,candidate_rmse_bps,rmse_improvement_percent,baseline_mae_bps,candidate_mae_bps,direction_accuracy_percent,candidate_won
2018_bear,2018 bear market,2018-03-01,2018-12-31,164,306,370.1771501599274,500.96014227173293,-35.32983925542228,261.5178242093894,383.5017364751284,50.0,False
2020_shock,2020 shock & recovery,2020-01-01,2020-12-31,835,366,424.8409721070415,445.33004214561345,-4.822762253121282,244.8675956737484,261.173575708192,50.27322404371585,False
2021_bull,2021 bull market,2021-01-01,2021-12-31,1201,365,423.20550368037937,609.2124705730837,-43.95192531172367,314.18760935909074,495.5054186174106,50.136986301369866,False
2022_bear,2022 deleveraging,2022-01-01,2022-12-31,1566,365,337.83917405009663,383.3483687301355,-13.47066834626187,227.501427627646,282.4287899532179,48.76712328767123,False
2023_recovery,2023 recovery,2023-01-01,2023-12-31,1931,365,229.18668298663576,233.86601204440873,-2.041710712330458,153.33283832090845,155.8797640938222,52.87671232876713,False
2024_institutional,2024 institutional cycle,2024-01-01,2024-12-31,2296,366,276.2108216167683,281.94206152406156,-2.0749512541710313,200.52061536467357,203.38415814825018,51.36612021857923,False
2025_recent,2025 recent market,2025-01-01,2025-12-31,2662,365,217.83675141710876,223.27680404713004,-2.497307086445111,156.37071625095157,164.6539281831492,50.95890410958904,False
